States/UTs,2100 : 0000,0000 : 0300,03:00 : 06:00,0600 : 0900,0900 : 1200,1200 : 1500,1500 : 1800,1800 : 2100,Total
Andhra Pradesh,1751,2084,2428,3241,3487,3673,3693,2797,23154
Arunachal Pradesh,6,5,13,24,26,45,36,30,185
Assam,212,277,939,1475,1225,1438,1023,555,7144
Bihar,672,987,1429,1429,1460,1421,1262,871,9531
Chattisgarh,648,849,1469,1916,1702,2102,2072,1382,12140
Goa,189,173,371,712,752,791,785,457,4230
Gujarat,1232,1541,2496,3595,3328,3735,3791,2434,22152
Haryana,726,868,1459,1646,1493,1740,1887,1224,11043
Himachal Pradesh,199,183,418,517,517,603,558,330,3325
Jammu & Kashmir,168,442,693,928,1195,1126,833,393,5778
Jharkhand,247,592,703,749,670,847,678,419,4905
Karnataka,3022,3219,4576,6393,6646,7119,7377,5342,43694
Kerala,759,1232,4145,6709,6057,8172,6114,2684,35872
Madhya Pradesh,1925,2384,5370,7106,7337,7030,5791,2755,39698
Maharastra,3376,3330,4853,6430,6522,7126,7421,5324,44382
Manipur,7,8,47,162,148,173,141,49,735
Meghalaya,10,19,30,45,59,55,50,33,301
Mizoram,5,12,11,9,11,20,15,12,95
Nagaland,0,2,3,3,8,6,5,1,28
Odisha,661,880,1099,1413,1283,1651,1564,1089,9640
Punjab,387,392,683,842,943,998,1380,766,6391
Rajhastan,1128,1428,2622,3706,4234,4841,4215,2465,24639
Sikkim,6,8,15,17,12,27,29,16,130
Tamilnadu,2685,4057,7973,9593,9955,11902,13927,7158,67250
Telangana,1585,2382,1884,2390,2395,2996,3484,2962,20078
Tripura,15,21,53,199,123,161,96,48,716
Uttar Pradesh,2106,2824,3376,3547,3522,3929,4099,2661,26064
Uttarakhand,61,81,95,122,117,137,113,75,801
West Bengal,1455,1634,2022,2998,2570,2458,2132,1836,17105
Andaman & Nicobar,4,6,25,28,55,36,41,23,218
Chandigarh,32,29,42,51,41,56,66,49,366
D&N Haveli,1,1,8,7,13,22,27,8,87
Daman & Diu,3,0,4,6,5,7,12,2,39
Delhi,757,581,867,925,909,1208,1502,1561,8310
Lakshadweep,0,0,0,0,1,0,0,0,1
Puducherry,28,23,58,109,97,179,115,62,671
Total,26068,32554,52279,69042,68918,77830,76334,47873,450898
